date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:46:07	59776/59776	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html	C:/Users/Brayan/Documents/My%20Web%20Sites/WebSite1/ViewGroup/demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html	(from )
05:46:08	5251/5251	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2008%20Sep%202018%2005:46:08%20GMT	https://demos.creative-tim.com/robots.txt		(from )
05:46:08	2446/2446	---M--	200	added ('OK')	image/png	etag:%225b34ddf4-98e%22	https://demos.creative-tim.com/material-dashboard-pro/assets/img/apple-icon.png	C:/Users/Brayan/Documents/My%20Web%20Sites/WebSite1/ViewGroup/demos.creative-tim.com/material-dashboard-pro/assets/img/apple-icon.png	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
05:46:08	2761/2761	---M--	200	added ('OK')	image/png	etag:%225b34ddf4-ac9%22	https://demos.creative-tim.com/material-dashboard-pro/assets/img/favicon.png	C:/Users/Brayan/Documents/My%20Web%20Sites/WebSite1/ViewGroup/demos.creative-tim.com/material-dashboard-pro/assets/img/favicon.png	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
05:46:10	171778/171778	---M--	200	added ('OK')	image/jpeg	etag:%2249c99bc1b2c088d94746d3b55081f2ec%22	https://s3.amazonaws.com/creativetim_bucket/products/51/original/opt_mdp_thumbnail.jpg	C:/Users/Brayan/Documents/My%20Web%20Sites/WebSite1/ViewGroup/s3.amazonaws.com/creativetim_bucket/products/51/original/opt_mdp_thumbnail.jpg	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
05:46:10	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221518903977%22	https://maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	C:/Users/Brayan/Documents/My%20Web%20Sites/WebSite1/ViewGroup/maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
05:46:11	516043/516043	---M-Z	200	added ('OK')	text/css	etag:W/%225b34ddf4-7dfcb%22	https://demos.creative-tim.com/material-dashboard-pro/assets/css/material-dashboard.min.css?v=2.0.2	C:/Users/Brayan/Documents/My%20Web%20Sites/WebSite1/ViewGroup/demos.creative-tim.com/material-dashboard-pro/assets/css/material-dashboard.min40a0.css	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
05:46:11	1048/1048	---M-Z	200	added ('OK')	text/css	etag:W/%225b34ddf4-418%22	https://demos.creative-tim.com/material-dashboard-pro/assets/demo/demo.css	C:/Users/Brayan/Documents/My%20Web%20Sites/WebSite1/ViewGroup/demos.creative-tim.com/material-dashboard-pro/assets/demo/demo.css	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
05:46:12	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2008%20Sep%202018%2005:46:13%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Brayan/Documents/My%20Web%20Sites/WebSite1/ViewGroup/www.googletagmanager.com/gtm.75445.delayed	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
05:46:13	189310/189310	---M--	200	added ('OK')	image/jpeg	etag:%225b34ddf4-2e37e%22	https://demos.creative-tim.com/material-dashboard-pro/assets/img/sidebar-1.jpg	C:/Users/Brayan/Documents/My%20Web%20Sites/WebSite1/ViewGroup/demos.creative-tim.com/material-dashboard-pro/assets/img/sidebar-1.jpg	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
